PMID,Title,Year,Journal,Domain(s),Relevance_Score,Screening_Decision,Reason
29553053,Bone-targeted therapies to reduce skeletal morbidity in prostate cancer.,2018,Asian journal of andrology,,0,Exclude,Biochemistry/oncology paper (not game research)
39997959,"Technical, Tactical, and Time-Motion Match Profiles of the Forwards, Midfielders, and Defenders of a Men's Football Serie A Team.",2025,"Sports (Basel, Switzerland)",,0,Exclude,Sports/athletics paper
30881528,Persuasion with Limited Sight.,2019,Review of philosophy and psychology,,0,Exclude,Economic theory paper (not game research)
30049225,Gamification Use and Design in Popular Health and Fitness Mobile Applications.,2019,American journal of health promotion : AJHP,D1: Loss aversion / behavioral economics; D3: Gacha / Loot box,0,Exclude,Health/fitness gamification (not video game behavior)
24602325,The role of exergaming in Parkinson's disease rehabilitation: a systematic review of the evidence.,2014,Journal of neuroengineering and rehabilitation,,0,Exclude,Serious game for therapy/rehabilitation
41860608,The Problematic Behaviour Scale (PBS-5): A brief measure for the population-level screening of non-substance-bound addictive behaviours and Swiss national prevalence rates.,2026,Journal of behavioral addictions,D3: Gacha / Loot box,2,Maybe,Game-related but no strong match to specific domains
40987326,Joint commitment in human cooperative hunting through an 'imagined we'.,2025,Proceedings. Biological sciences,,4,Maybe,Game reward system research
27456652,"Coed Football: Hazards, Implications, and Alternatives.",1986,The Physician and sportsmedicine,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
22058616,"Guidelines, editors, pharma and the biological paradigm shift.",2007,Mens sana monographs,,0,Exclude,Patent system paper (not game research)
10876972,[Changes in body composition caused by intense physical training].,2000,La Clinica terapeutica,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
31366420,Online gaming and gaming disorder: more than just a trivial pursuit.,2022,Irish journal of psychological medicine,D3: Gacha / Loot box,4,Maybe,Gambling-gaming convergence (may have relevant data)
40422088,Bio-Inspired Swarm Confrontation Algorithm for Complex Hilly Terrains.,2025,"Biomimetics (Basel, Switzerland)",,2,Maybe,Game-related but no strong match to specific domains
27029804,Arthroscopic debridement of the ankle for mild to moderate osteoarthritis: a midterm follow-up study in former professional soccer players.,2016,Journal of orthopaedic surgery and research,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
19839446,The five traps of performance measurement.,2009,Harvard business review,D6: Backlog,2,Maybe,Game-related but no strong match to specific domains
32045732,Is monetary reward processing altered in drug-naïve youth with a behavioral addiction? Findings from internet gaming disorder.,2020,NeuroImage. Clinical,,4,Maybe,Behavioral addiction study with gaming/hoarding component
33133767,The Impact of Compulsivity and Impulsivity in Cerebellar Ataxia: A Case Series.,2020,"Tremor and other hyperkinetic movements (New York, N.Y.)",D3: Gacha / Loot box; Cross-domain: Hoarding link,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
27363690,Who Spends Money to Play for Free? Identifying Who Makes Micro-transactions on Social Casino Games (and Why).,2017,Journal of gambling studies,D3,7,Include,Microtransaction/in-game spending research
32316282,p53 and FBXW7: Sometimes Two Guardians Are Worse than One.,2020,Cancers,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
26441749,The Bergen Shopping Addiction Scale: reliability and validity of a brief screening test.,2015,Frontiers in psychology,Cross-domain,3,Maybe,Shopping addiction (potential cross-domain parallel to in-game purchasing)
8481964,Special considerations in the medical management of professional basketball players.,1993,Clinics in sports medicine,,0,Exclude,Sports/athletics paper
35385397,Loot box purchasing is linked to problem gambling in adolescents when controlling for monetary gambling participation.,2022,Journal of behavioral addictions,D3,8,Include,Loot box/gacha research with game connection
36107949,Emotion-focused coping mediates the relationship between COVID-related distress and compulsive buying.,2022,PloS one,Cross-domain,4,Maybe,Compulsive buying with potential game connection
35409830,Reliability of a Qualitative Instrument to Assess High-Risk Mechanisms during a 90° Change of Direction in Female Football Players.,2022,International journal of environmental research and public health,,0,Exclude,Biomechanics paper
23167030,How to be a better team player: fifty strategies.,2012,The Journal of medical practice management : MPM,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
35129089,A systematic video analysis of 21 anterior cruciate ligament injuries in elite netball players during games.,2024,Sports biomechanics,,0,Exclude,Sports/athletics paper
38571884,"The relationship between game genre, monetization strategy and symptoms of gaming disorder in a clinical sample of adolescents.",2024,Upsala journal of medical sciences,D3,6,Include,Gaming disorder study with spending/purchasing component
35217933,Skin Gambling Contributes to Gambling Problems and Harm After Controlling for Other Forms of Traditional Gambling.,2023,Journal of gambling studies,D3,7,Include,Skin gambling research (game-linked)
35911206,Time spent playing video games is unlikely to impact well-being.,2022,Royal Society open science,,0,Exclude,General gaming well-being study (no collecting/hoarding angle)
41567349,Development and validation of screening tool for excessive and problematic use of internet and digital devices (STEPS-IDD) based on the WHO framework (ICD-11) for addictive behaviours.,2025,Frontiers in digital health,D3: Gacha / Loot box,4,Maybe,Gambling-gaming convergence (may have relevant data)
38861246,"Religiosity, Financial Risk Taking, and Reward Processing: An Experimental Study.",2025,Journal of gambling studies,D3: Gacha / Loot box,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
26236023,ERP effects and perceived exclusion in the Cyberball paradigm: Correlates of expectancy violation?,2015,Brain research,D5,4,Maybe,Game-related paper matching domain keywords
40589520,Eutrapelia and Video Games: Moral Risks With Playing Video Games as a Form of Eutrapelia.,2025,The Linacre quarterly,,0,Exclude,Moral philosophy of gaming (not behavioral research)
33101151,"Sports Teaching, Traditional Games, and Understanding in Physical Education: A Tale of Two Stories.",2020,Frontiers in psychology,,0,Exclude,Physical education/teaching paper
30241787,Feasibility of a Kinect®-based rehabilitation strategy after burn injury.,2018,Burns : journal of the International Society for Burn Injuries,D5: Completionism,0,Exclude,Sports medicine/injury paper
29410568,Comparison of sleep status among three Japanese national wheelchair basketball teams.,2018,Journal of physical therapy science,,0,Exclude,Sports/athletics paper
25477807,Are there benefits of social overinclusion? Behavioral and ERP effects in the Cyberball paradigm.,2014,Frontiers in human neuroscience,D3: Gacha / Loot box,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
34166631,A public health approach to gambling regulation: countering powerful influences.,2021,The Lancet. Public health,D3: Gacha / Loot box,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
41186668,Pay to Play or Pay to Lose? The Impact of In-game Spending in Digital Games on Gambling Problems.,2025,Journal of gambling studies,D3,7,Include,Microtransaction/in-game spending research
23604411,[The concept of behavioral addiction and limits of the term addiction].,2013,Der Nervenarzt,Cross-domain,3,Maybe,Shopping addiction (potential cross-domain parallel to in-game purchasing)
6453184,Aging and skilled problem solving.,1981,Journal of experimental psychology. General,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
32500211,Impulsive decision-making predicts the course of substance-related and addictive disorders.,2020,Psychopharmacology,D1,2,Maybe,Matched domain keywords but game connection unclear
36467649,Effects of message delivery on cross-cultural biosecurity compliance: Insights from experimental simulations.,2022,Frontiers in veterinary science,,0,Exclude,Labour economics paper (not video game research)
36003120,"Problem mobile gaming: The role of mobile gaming habits, context, and platform.",2022,Nordisk alkohol- & narkotikatidskrift : NAT,D3; D5,7,Include,Microtransaction/in-game spending research
17296546,Good players left on the sidelines: why some synaptic vesicles don't get in the game.,2007,Neuron,D3: Gacha / Loot box,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
33397672,"Injury prevention knowledge, beliefs and strategies in elite female footballers at the FIFA Women's World Cup France 2019.",2021,British journal of sports medicine,,0,Exclude,Sports/athletics paper
39535584,"The Role of Videogame Micro-Transactions in the Relationship Between Motivations, Problem Gaming, and Problem Gambling.",2025,Journal of gambling studies,D3: Gacha / Loot box,4,Maybe,Gaming disorder study (may contain relevant behavioral data)
15697115,How to play to your strengths.,2005,Harvard business review,,0,Exclude,Sports/athletics paper
39307287,The effect of individual differences on Pavlovian conditioning in specific Internet-use disorders.,2025,Behavioural brain research,,2,Maybe,Game-related but no strong match to specific domains
27100787,Target and Non-Target Processing during Oddball and Cyberball: A Comparative Event-Related Potential Study.,2016,PloS one,D5,4,Maybe,Game-related paper matching domain keywords
40514305,Endoscopic flexor hallucis longus transfer for acute Achilles tendon ruptures is associated with a high re-rupture rate: A prospective case series.,2025,Foot and ankle surgery : official journal of the European Society of Foot and Ankle Surgeons,,0,Exclude,Sports/athletics paper
25410278,Do Social Casino Gamers Migrate to Online Gambling? An Assessment of Migration Rate and Potential Predictors.,2015,Journal of gambling studies,D3,6,Include,Free-to-play game monetization research
10532656,Factors associated with significant injuries in youth ice hockey players.,1999,Pediatric emergency care,D5: Completionism,0,Exclude,Sports/athletics paper
11894681,Are you picking the right leaders?,2002,Harvard business review,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
30110801,Behavior analysis of virtual-item gambling.,2018,Physical review. E,D3: Gacha / Loot box,7,Include,Virtual item gambling research
27942256,When Is a New Scale not a New Scale? The Case of the Bergen Shopping Addiction Scale and the Compulsive Online Shopping Scale.,2016,International journal of mental health and addiction,Cross-domain: Hoarding link,3,Maybe,Shopping addiction (potential cross-domain parallel to in-game purchasing)
27008504,Preparing a neuropediatric upper limb exergame rehabilitation system for home-use: a feasibility study.,2016,Journal of neuroengineering and rehabilitation,,0,Exclude,Serious game for therapy/rehabilitation
25493849,Solving the collective-risk social dilemma with risky assets in well-mixed and structured populations.,2014,"Physical review. E, Statistical, nonlinear, and soft matter physics",,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
23254547,"Quantification of physiological, movement, and technical outputs during a novel small-sided game in young team sport athletes.",2013,Journal of strength and conditioning research,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
36704251,The relationship between psycho-environmental characteristics and wellbeing in non-spending players of certain mobile games.,2023,Royal Society open science,D3,7,Include,Microtransaction/in-game spending research
41393314,Self-related motivational aspects of hindsight bias in soccer athletes.,2025,Frontiers in sports and active living,,0,Exclude,Sports/athletics paper
27870086,Health Care for NFL Players: Upholding Physician Standards and Enhancing the Doctor-Patient Relationship.,2016,The Hastings Center report,,0,Exclude,Sports/athletics paper
35604522,Motives to engage with or refrain from gambling and loot box content: an exploratory qualitative investigation.,2023,Journal of gambling studies,D3,8,Include,Loot box/gacha research with game connection
24716878,Perceiving monetary loss as due to inequity reduces behavioral and cortical responses to pain.,2014,The European journal of neuroscience,,0,Exclude,No clear relevance to in-game collecting/hoarding behaviors
27928436,Parathyroidectomy: is vitamin D a player for a good outcome?,2016,Journal of medicine and life,,0,Exclude,Pure medical paper
37915884,Loot box purchasing and indebtedness: The role of psychosocial factors and problem gambling.,2023,Addictive behaviors reports,D3,8,Include,Loot box/gacha research with game connection
