pmid,title,authors,year,journal,abstract,domains
41850261,Exploring the Characteristics of Individuals Grouped Based on the Multimodal Optimized Treatment for Insomnia Framework Among Individuals Complaining of Insomnia.,Chung Seockhoon,2026,Psychiatry investigation,"This study aimed to explore the feasibility of the Multimodal Optimized Treatment for Insomnia Framework (MOTIF) among people with insomnia symptoms among the general population. An online survey among people in the general population complaining of insomnia was conducted anonymously. Participants were categorised into two groups based on 6 hours of time in bed (TIB). Each group was further clustered into two groups based on favourable attitudes toward taking hypnotics. Their psychological states were assessed using the Insomnia Severity Index (ISI), Patient Health Questionnaire-9 (PHQ-9), Dysfunctional Beliefs and Attitudes about Sleep-6 (DBAS-6), Adaptive Cognition and Behaviors about Sleep-6 (ACBS-6), and Depressive Symptoms Inventory-Suicidality Scale (DSI-SS). There were 600 responses collected, with 548 responses analysed from people whose bedtime was between 9:00 PM and 1:00 AM. In total, 86.1% were categorized as individuals who can sleep without medications, while 13.9% as individuals who cannot. The ISI score was significantly higher among individuals with TIB ≤6 hours. Based on the attitude toward taking hypnotics, the proportions of participants in each category were 46.9%, 39.2%, 7.8%, and 6.0%. The ISI and DSI-SS scores (18.7±5.3 and 2.9±2.6, respectively) were significantly higher among the group who cannot sleep without medications and who had a favourable attitude to taking hypnotics. The proportion of participants taking hypnotics was lowest among the group who cannot sleep without medications and had an unfavourable attitude to taking hypnotics. Individuals unable to sleep without hypnotics exhibit more severe insomnia symptoms and higher psychological distress.",D4: Inventory / virtual possession
41849983,The effect of motivational interviewing-supported health education on digital game addiction and cyberbullying behaviors in adolescents: A randomized controlled trial.,Ayaz-Alkaya Sultan et al.,2026,Public health,"Digital game addiction and cyberbullying are two common and significant public health issues among adolescents. The present study was conducted to measure the effect of motivational interviewing-supported health education in reducing digital game addiction and cyberbullying behaviors in adolescents. A parallel-group randomized controlled trial was adopted. The study population consisted of ninth-grade adolescents studying in a single high school in the capital city of Türkiye. The study included 52 adolescents (experiment: 26; control: 26). Data were collected using the Personal Information Form, the Digital Game Addiction Scale (DGAS-7), and the Renewed Cyberbullying Inventory-II. Motivational interviewing-supported health education program, including six sessions, was implemented for the experiment group to reduce digital game addiction and cyberbullying behaviors. Instruments were given to the experiment and control groups at baseline (before the intervention) and post-test (after the intervention). A chi-square test, a two-way mixed-design variance analysis, and a Bonferroni test were used to analyze the data. There was no statistically significant difference between the experiment and the control groups regarding digital game addiction, cyberbullying, and cyber victimization baseline mean scores (p > 0.05). After the intervention, digital game addiction, cyberbullying, and cyber victimization post-test mean scores in the experiment group decreased significantly compared to the control group (p < 0.005), highlighting the short-term outcomes. The intervention revealed large effect sizes, with partial eta-squared values of 0.339, 0.428, and 0.161, respectively. The study concluded that health education-supported motivational interviewing was effective in reducing digital game addiction and cyberbullying behaviors in adolescents.",D4: Inventory / virtual possession
41849563,Pain Outcomes Following Modern External Ring Fixation Compared with Internal Fixation for Severe Open Tibial Fractures: A Secondary Analysis of a Prospective Randomized Trial (FIXIT).,Shu Henry T et al.,2026,The Journal of bone and joint surgery. American volume,"It is unclear whether postoperative pain differs by treatment type for patients with severe open tibial fractures. We performed a secondary analysis of data from the FIXIT study. Adults with severe open tibial fractures were randomized to undergo definitive modern external ring fixation (n = 122) or internal fixation (n = 132). Primary outcomes were pain intensity and interference at 6 and 12 months, measured by the Brief Pain Inventory. Secondary outcomes were Numeric Pain Rating Scale (NPRS) scores and the incidence of moderate to severe pain. Post hoc subanalysis compared pain in patients with and without pin-site infections and with and without external fixation removal. At 6 months, median pain intensity did not differ significantly between the external fixation group (4.1 [interquartile range (IQR), 2.2 to 5.5]) and the internal fixation group (3.0 [IQR, 1.8 to 5.8]) (p = 0.11); however, patients who underwent external fixation had greater median pain interference (6.0 [IQR, 3.3 to 8.0]) than patients who underwent internal fixation (4.0 [IQR, 1.9 to 7.4]) (p = 0.01). At 12 months, pain intensity, pain interference, and NPRS scores did not differ by treatment type. The overall incidence of moderate to severe pain was 33% at 6 months and 35% at 12 months. At 6 months, pin-site infections were associated with greater pain intensity (p = 0.01) but not greater interference (p = 0.10). At 12 months, the presence of external fixation was associated with greater pain intensity (p = 0.01) and interference (p < 0.01). At 6 months after a severe open tibial fracture, patients treated with modern external ring fixation had greater pain interference than patients treated with internal fixation, partly because of pin-site infections. No differences in pain interference or intensity were seen at 12 months. At 12 months, patients with external fixation in place had greater pain intensity and interference than those whose external fixation had been removed, but this was not the case at 6 months. Approximately one-third of all patients had moderate to severe pain at both time points, highlighting that persistent pain is common, regardless of treatment type. These findings can guide surgeons in choosing ring external fixation or internal fixation for these fractures. Therapeutic Level I. See Instructions for Authors for a complete description of levels of evidence.",D4: Inventory / virtual possession
41848311,Al-enhanced Dynamic Virtual Patient Workflow for Full-arch Implant Rehabilitation.,Lin Hong Lei et al.,2026,The Chinese journal of dental research,"Accurately recording implant positions and maxillomandibular relationships in completely edentulous patients for the fabrication of fixed implant-supported immediate prostheses presents a challenge. This study aimed to introduce a fully digital workflow incorporating artificial intelligence (AI) technology and a dynamic virtual patient to create a screw-retained, full-arch implant-supported prosthesis for a completely edentulous patient. Virtual surgical planning was conducted using digital software (3Shape dental system, 3Shape, Copenhagen, Denmark) that integrates intraoral mucosal information, anatomical images of bone tissue and the radiographic guide based on radiopaque markers of the radiopaque guide. After this, immediate implant-supported fixed complete-arch dentures (IFCDs) were fabricated based on the alignment of intraoral scans and the extraoral scans of the implant position with the scan bodies and preoperative and postoperative CBCT images. Digital impressions of interim and mucosal contours, CBCT images, facial scans and mandibular motions of the patients were collected to construct a dynamic virtual patient. The craniomaxillofacial complex and mandible were automatedly segmented using 3D Slicer via the deep learning system. Subsequently, a definitive restoration was fabricated, and the patient expressed satisfaction with the functionality, aesthetics and passive fit of the IFCDs. This technical procedure presents a digital registration method using AI technology to accurately capture the aesthetic features and maxillomandibular relationship and ensure a passive fit, potentially improving aesthetics and functionality and maintaining the long-term stability of peri-implant soft and hard tissues.Keywords: digital workflow, implant-supported full-arch prosthesis, virtual patient.",
41848273,"Relationship Among Mothers' Social Media Addiction, Maternal Attachment, and Maternal Role.",Çankaya Seyhan et al.,2026,Journal of psychosocial nursing and mental health services,"The current study was conducted to determine the relationship among mothers' social media addiction, maternal attachment, and maternal role. A descriptive and correlational study was conducted with mothers (N = 271) who live in the central Anatolia region of Turkey, use smartphones, have social media accounts, and have infants aged between 1 and 12 months. Data were collected via a personal information form, Bergen Social Media Addiction Scale (BSMAS), Maternal Attachment Inventory, and Maternity Role Gaining Scale. A statistically significant negative relationship was found between social media addiction and maternal attachment and maternal role and its sub-dimensions (p < .05). In the regression analysis, using social media to spend leisure time (t = -2.037, p = .043) and high BSMAS score (t = -4.025, p < .001) were associated risk factors that negatively affected maternal attachment. In addition, using social media for ≥7 to 8 hours (t = -2.113, p = .036) and high BSMAS score (t = -4.104, p < .001) were associated risk factors negatively affecting maternal role. A negative relationship was found between social media addiction and maternal attachment and maternal role. Using social media for leisure time and high BSMAS scores were identified as risk factors that negatively affect maternal attachment and maternal role. These results suggest that excessive and aimless social media use may negatively affect postpartum maternal functioning.",D4: Inventory / virtual possession
41847625,Exploring the potential of augmented reality in rehabilitation: a novel approach for post-stroke unilateral neglect.,Yanzhen Ming et al.,2026,Frontiers in sports and active living,"Unilateral neglect affects up to 80% of right hemisphere stroke survivors and poses a significant barrier to rehabilitation. It is a strong predictor of poor prognosis and leads to prolonged hospital stays, yet no established treatment currently exists. We propose an innovative approach, NeuroNavAR, a novel treatment method that utilizes neural network models to train the human nervous system under the guidance of augmented reality (AR). This method focuses on an AR-enhanced smart training program specifically for post-stroke spatial neglect. While the current implementation runs on a GPU server for technical validation, the application is designed for future deployment on Android and iOS devices. It employs image processing algorithms to identify real-world objects, such as clocks and chairs, segment their contours, and generate virtual bee patterns. These virtual bees navigate along the contours of the objects, and patients are encouraged to follow the bee patterns, receiving rewards upon completing a cycle. If patients fail to complete the cycle, virtual birds are introduced into their field of view to guide them back to the bee patterns, thereby enhancing engagement. This study reports only on the technical feasibility of the system. No clinical, behavioral, or usability data were collected. On a test dataset comprising 537 indoor images from the ADE20K dataset (accessed June 2024), the segmentation achieved a mean Intersection over Union (IoU) of 76.70% (SD = 8.2%) and an accuracy of 88.51% (SD = 4.7%). The NeuroNavAR program represents a preclinical engineering feasibility study that provides a more intuitive and user-friendly training experience compared to traditional rehabilitation methods. Its innovative use of augmented reality and real-time feedback is designed to support, but has not yet demonstrated, improved rehabilitation outcomes for patients with unilateral spatial neglect. Clinical validation is planned for 2026.",
41846835,Implementation of an innovative virtual selective screening program for early detection of cerebral palsy in British Columbia.,O'Connor Keith et al.,2026,Frontiers in public health,"Early identification of cerebral palsy (CP) enables timely intervention during critical periods of neuroplasticity, yet diagnosis remains delayed in many health systems. In British Columbia (BC), fragmented referral pathways and restrictive neonatal follow-up criteria have limited access to standardized early motor assessment, particularly for infants outside major urban centers. To address these gaps, a province-wide virtual screening pathway was developed to improve equitable access to early CP detection. The Early Motor Screening Program (EMSP) was implemented in 2022 as a virtual, risk-stratified screening pathway for infants at elevated neurological risk. The program integrates caregiver-recorded General Movements Assessment (GMA) videos, telehealth-based clinical review, and coordinated referral to an interdisciplinary Cerebral Palsy Early Detection Clinic (CPEDC). Eligibility criteria were defined using epidemiological risk stratification, prioritizing infants with medical conditions associated with substantially increased CP risk. This community-based implementation case study used a descriptive observational design drawing on routinely collected program and clinical data. Outcomes included program uptake, screening completion, GMA findings, referral patterns, caregiver experience, and system-level indicators. Analyses were descriptive and interpreted as implementation and pathway outcomes rather than diagnostic performance. Between June 2022 and September 2025, 883 infants were referred to the EMSP, with 622 (70%) completing GMA assessments. Abnormal GMA findings were identified in 114 infants (18%), who were referred to CPEDC for further evaluation. Among these infants, 25 (22%) received a CP diagnosis, while others required monitoring or were discharged. Referral volumes increased steadily across the study period, with participation from all health authorities and substantial engagement from rural and remote regions. Caregiver feedback indicated high acceptability and feasibility of the virtual screening model. Provincial data demonstrated a temporal, system-level reduction in the average age of CP diagnosis among high-risk infants engaged in early detection pathways, from approximately 25 months to 7 months. This case study demonstrates the feasibility of implementing a province-wide virtual early motor screening pathway within a publicly funded health system. Coordinated, risk-based, and telehealth-enabled models may expand access to early CP identification and support more timely clinical pathways, with potential applicability to other jurisdictions seeking equitable early neurodevelopmental screening.",
41845870,Using Implementation Science to Improve Health Care Access and Quality for People With Traumatic Brain Injury-Related Morbidity (I-HEAL): Protocol for a Translational Multiproject Program Award.,Nakase-Richardson Risa et al.,2026,JMIR research protocols,"People with traumatic brain injury (TBI) morbidity (impaired cognition and behavioral regulation) and polytrauma comorbidity (depression, posttraumatic stress disorder [PTSD], chronic pain, and sleep disorders) experience health care inequities. Among Veterans and Service Members (V/SMs), TBI morbidity or polytrauma comorbidity may impact access and meaningful engagement in the high-quality health care needed to reduce poor health care outcomes. The National Academy of Science, Engineering, and Medicine Report on Accelerating Progress in TBI highlights a dearth of implementation science research in TBI that may help overcome health care access challenges. Implementation science uses a mixed methods approach to understand, implement, and examine outcomes associated with using evidence-based care in practice. The I-HEAL (Improving Health Care Access and Engagement for Veterans and Service Members with TBI Morbidity) protocol includes 4 synergistic projects with the goal of addressing key knowledge gaps that will improve access and engagement in high-quality, evidence-based health care services for V/SMs with TBI morbidity. Collectively, the 4 projects propose to: (1) adapt existing interventions to promote access and engagement in health care; (2) engage stakeholder communities to maximize uptake and translation; (3) promote research translation that informs policy and practice through knowledge translation products and deliverables targeting key partners (clinicians, V/SMs, caregivers, policymakers, and researchers); (4) facilitate research and implementation to enhance access to high-quality health care for V/SMs with TBI-related morbidity; and (5) foster the development of early/mid-career researchers in advancing implementation science research on access to care for V/SMs with TBI. Project 1 will involve the development of a nudge intervention (electronic health care reminder) for providers to engage health care proxies when interacting with cognitive disability at risk for poor health care engagement. Project 2 will involve the development of a provider toolkit of adaptations of guideline-endorsed behavioral health interventions for common polytrauma comorbidities to meet the needs of cognitively impaired individuals. Project 3 will involve the adaptation and dissemination of evidence-based team interventions for managing maladaptive behaviors after TBI. Project 4 will involve evaluation and recommendations for policy for virtual health modalities among persons with TBI and polytrauma comorbidity. I-HEAL has been funded as an implementation science Focused Program Award by Congressionally Directed Medical Research Programs, and start-up activities began in October 2023. All 4 projects are currently underway with funding through September 2027. Project 1 has enrolled 48 participants, and project 3 has enrolled 34 participants through September 2025. TBI is associated with increased health care utilization, comorbid health conditions, and premature mortality. This study has proposed to utilize strategies from the implementation science field to help overcome barriers to physical and psychological health care in order to reduce health care disparities associated with TBI disability.",
41845597,Experimental demonstration of a multi-particle collective measurement for optimal quantum state estimation.,Mansouri Arman et al.,2026,Optics express,"We experimentally demonstrate a two-particle collective measurement proposed as the optimal solution to a quantum state estimation game. Our results suggest that, in practice, the collective measurement strategy is at least as good as the best local approach, and it achieves a higher average fidelity when accounting for systematic errors. This photonic implementation uses a recently developed universal two-photon projective measurement based on Hong-Ou-Mandel interference, polarization-dependent loss, and unitary operations. We compare the performance to the case where the entangling component of the measurement is suppressed. We further apply the collective measurement to quantum state tomography, observing a near-optimal scaling of the infidelity with the total number of samples.",
41844121,Exploring the future of travel: Unveiling tourist behavior and perceptions of metaverse travel through hybrid PLS-SEM and ANN analysis.,Guangju Wang et al.,2026,Acta psychologica,"This study examines the metaverse's potential to revolutionize the tourism industry by enhancing tourists' travel experiences. The term metaverse tourism is about to exploring immersive virtual travel experiences through digital environments. The metaverse offers interactive previews of destinations, thereby improving tourism planning and engagement. The primary aim is to investigate and evaluate the metaverse-tourism nexus by analyzing tourist engagement and behavioral intentions to utilize the metaverse for tourism purposes. The frameworks of the technology acceptance model and the planned behavior theory are combined to understand the tourism dynamics and tourist's behavior intention to engage with metaverse. The analysis was performed on the sample of the 329 students, by using the integrative PLS SEM and the ANN approach. The analysis highlights that social norms play a crucial role in shaping both perceived enjoyment and virtual environment perception within the metaverse. As the results showed that the both perceived enjoyment (β = 0.365) and Virtual experience perception (VEP) (β = 0.346) are significantly affected by the social norms and both of these Perceived enjoyment (β = 0.239) and Virtual experience perception (VEP) (β = 0.241) significantly influence the behavioral intention to use the metaverse. Furthermore, the virtual environment itself emerges as the key driver of tourists' behavioral intentions to engage with the metaverse for travel. The study highlights the significant impact of metaverse tourism on tourist engagement with metaverse, offering critical insights for tourism-Metaverse agencies to enhance their services.",
41843993,"Optimizing energy settings in CdTe, CZT, and Si photon-counting CT for material separation and detection.",Bhattarai Mridul et al.,2026,Physics in medicine and biology,"The performance of photon-counting CT (PCCT) depends on how detector energy thresholds or bins (collectively referred to as energy settings) are defined. This study aimed to identify optimal energy settings for various PCCT technologies to enhance spectral separability and spatial detectability of materials relevant to diagnostic imaging. We modeled vendor-neutral PCCT scanners with cadmium telluride (CdTe), cadmium zinc telluride (CZT), and silicon (Si) based detectors using an in-silico imaging framework. The scanner models incorporated scanner geometries and spatio-energetic detector responses to account for inter-pixel and inter-energy crosstalk and noise correlation. Using these models, we imaged two sizes of a cylindrical phantom containing inserts with various concentrations of calcium, iodine, and gadolinium across various energy settings and two dose levels. Other settings were held constant, including tube voltage (120 kV), pitch (1), gantry rotation speed (0.5 rot/second), and reconstruction settings. Image quality was quantified in terms of separability index (s') and contrast-to-noise ratio (CNR). The scanner-specific optimal energy settings were determined by ranking the measured s' values using a rank-sum method and evaluating them with the Friedman test. The optimal energy settings varied primarily with the phantom size and material pairs to separate (Ca-I, Ca-Gd, I-Gd) rather than the dose level. When aggregated across all imaging tasks and conditions, the optimal energy settings were 30-65 keV and 20-35-50-70 keV for two-and four-threshold CdTe-, 20-35-50-70 keV for four-threshold CZT-, and 5-35-50-80-120 keV for four-bin Si-based PCCT systems. Optimization of energy settings significantly improved material decomposition accuracy for Ca, I, and Gd across PCCT systems, particularly under low-concentration conditions, reducing percent differences from as high as 422.0% to within 17.0%. This work presents a simulation-based framework for optimizing energy settings of photon-counting detectors used in PCCT scanners, providing clinically translatable insights towards clinical adoption for accurate and standardized spectral imaging.",
41843837,"Smartphone Cardiac Rehabilitation, Assisted Self-Management (SCRAM) Versus Usual Care: Multicenter Randomized Controlled Trial.",Maddison Ralph et al.,2026,JMIR mHealth and uHealth,"Accessibility barriers contribute to low participation in center-based cardiac rehabilitation. We developed an innovative, comprehensive, dual-phase telerehabilitation program to address this gap (Smartphone Cardiac Rehabilitation, Assisted Self-Management; SCRAM). The study aimed to determine the effectiveness of SCRAM for increasing maximal aerobic exercise capacity (VO2max). A multicenter, parallel 2-arm randomized controlled trial recruited clinically stable adults (aged ≥18 y) with diagnosed coronary heart disease at 3 hospitals in Victoria, Australia (Melbourne, Geelong, and Bendigo) from 2018 to 2021. Participants were randomized (1:1), stratified by sex and study site, to receive SCRAM plus usual cardiovascular care (intervention) or usual cardiovascular care alone (control). SCRAM provided 24 weeks of remote exercise supervision, coaching, and behavior change support via smartphone. Usual cardiovascular care included standard medical care and advice to seek a referral to center-based cardiac rehabilitation, which was heavily impacted during the COVID-19 pandemic. Due to the nature of the treatments, participants were not blinded to allocation; primary outcome assessors and biostatisticians were blinded. The primary outcome was VO2max at 24 weeks, analyzed on the principle of intention-to-treat, using linear regression adjusted for baseline and stratification factors on multiple imputed data. Recruitment and data collection were heavily impacted by COVID-19, although SCRAM delivery was sustained throughout. Of 220 required participants, only 123 (56%) were recruited and randomized (intervention n=63, control n=60); 45% (55/123) had missing VO2max at 24 weeks-largely due to enforced COVID-19 restrictions. Mean VO2max at 24 weeks favored SCRAM (26.10, SD 10.72 mL/kg/min) over control (24.65, SD 7.87 mL/kg/min), but the difference was not statistically significant (mean difference=1.61 mL/kg/min, 95% CI -1.38 to 4.61, P=.28). Among secondary outcomes, patients receiving SCRAM had lower diastolic blood pressure at 24 weeks (mean difference=-5.54 mm Hg, 95% CI -10.01 to -1.06). All reported adverse events (control n=6, intervention n=16) were deemed mild or moderate, with only one deemed as possibly related to treatment. There were no deaths or hospitalizations. This was an underpowered trial, but SCRAM did not lead to a clinically important difference in VO2max compared to usual cardiac care. SCRAM was resilient to COVID-19-related disruptions that significantly impacted the delivery of cardiac rehabilitation and supervised exercise training in particular. Further research is needed to conclusively assess treatment effects and understand how virtual cardiac rehabilitation can be translated into routine practice to augment center-based delivery and enhance equity of access.",D5: Completionism
41843800,Examination of the Acceptability and Feasibility of a Virtually Delivered Facilitator-Led and Self-Directed Cognitive Behavioral Skills Intervention in a Sample of Physicians and Medical Learners: Mixed Methods Evaluation.,Garg Bhavana et al.,2026,JMIR formative research,"The prevalence of various mental health conditions is higher among physicians and medical learners. One common barrier to receiving adequate care includes a lack of time to see a provider and follow treatment plans. As such, virtual forms of cognitive behaviour therapy with mindfulness (CBTm) were introduced to mitigate these barriers and provide care in an efficient and effective manner. The objective of this study was to determine the acceptability and feasibility of a 5-session CBTm program, delivered in 2 virtual formats within a population of medical learners and physicians. Participants signed up to the program using an online link and were able to choose a preferred format to participate in the CBTm program. One option was a virtual, facilitator-led class that was held once a week for 5 weeks, in a group setting (CBTm facilitator-led). Another option included a self-directed course that had identical content to the live classes but was independently completed by the participant using an online platform (CBTm self-directed). Feedback forms were collected from participants after every class and analyzed using quantitative and qualitative methods. Thematic analysis was used to qualitatively analyze open-ended questions from participant feedback forms. In addition, the mean values of questionnaire items were used to determine participant satisfaction with the program. The results indicated a good level of interest in both CBTm facilitator-led (n=15) and CBTm self-directed (n=94) groups. Of those who registered for the program, 13.8% (15/109) registered for CBTm facilitator-led and 86.2% (94/109) chose the self-directed version. The percentage of participants who participated in the majority of classes was 80% (12/15) for the CBTm facilitator-led group and 45.7% (43/94) for the CBTm self-directed group. The mean age of participants was 44.86 (SD 12.15 years), and the highest rate of uptake was among female physicians. Quantitative mean scores of participant feedback forms also showed a high level of satisfaction. For example, the Client Satisfaction Questionnaire 8 (CSQ-8) was analyzed, and the results indicated mean total scores of 28.00 (SD 3.24) and 26.46 (SD 3.55) for CBTm facilitator-led and CBTm self-directed, respectively. In addition, many themes emerged from thematic analysis and were subsequently categorized into 3 major categories. This included perceived strengths, perceived weaknesses, and suggested revisions to improve the program. Perceived strengths included improved mental health, helpful course content, and improved patient care. Perceived weaknesses included individual barriers to participation, content downfalls, and format-specific barriers. Suggested revisions included improving adherence to homework and virtual delivery of the program. In conclusion, the results indicate that the self-directed and facilitator-led versions of CBTm were acceptable and feasible in this population of physicians and medical learners.",
41843568,Summative evaluation of the rural surgical obstetrical networks initiative: Findings from a five year retrospective qualitative study.,Kornelsen Jude et al.,2026,PloS one,"The Rural Surgical and Obstetrical Network (RSON) initiative was originally funded for five years to support, enhance, and sustain rural surgical and obstetrical services in British Columbia (Canada). Interviews and focus groups with healthcare providers and administrators from 10 rural communities were conducted annually, to document the implementation of RSON, understand challenges and gains, and to inform network improvements. To supplement this information and enable participants to reflect on the project's full duration, we conducted a summative evaluation of RSON to understand the extent to which the program achieved its objectives. Data were collected in two phases: annual interviews and focus groups with rural healthcare providers and administrators in the final project year and through a real-time interactive, anonymous platform, ThoughtExchange, in the context of a day-long, annual virtual meeting. Data from both sources were analysed using a process of thematic analysis. Across both data sources, common themes highlighted the benefits of RSON, including the stabilization of local procedural care through increased local scope and volume, support for clinical coaching and other ongoing educational initiatives, quality improvement efforts, team-oriented care, increased administrative support, and appropriate staffing levels. Themes unique to the summative interviews included those addressing the limitations of RSON funding, particularly constraints on funding and contextual factors limiting participation. Findings underscore the importance of a wrap-around approach to health service interventions to reflect the complexity of healthcare delivery and the importance of coordinated, context sensitive efforts that work in synergy with other initiatives. The RSON initiative precipitated a cultural change in key determinants of stability at individual site levels, a necessary precursor to long-lasting change. The combination of this retrospective assessment of RSON and the program evaluation findings suggest the need for long-term funding to support rural surgical and obstetrical services.",
41843502,Heel-tapping-based Parkinson's Disease Progression Monitoring using Smart Insoles.,Almuteb Ibrahim et al.,2026,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,"Parkinson's Disease (PD) is a progressive neurodegenerative disorder marked by motor and non-motor symptoms, which complicate both diagnosis and disease monitoring. Traditional subjective assessments, such as the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) and Hoehn and Yahr scale, often fall short of capturing subtle motor variations across PD stages as well as require expertise and thus the accessibility is limited in daily life. In this study, we evaluated the feasibility of using in-phase (IP) and anti-phase (AP) heel- and toe-tapping as biomarkers to monitor PD progression objectively. Motion data were collected from 40 participants (28 patients with PD, 12 age-matched healthy controls) using a pair of smart insoles with embedded accelerometers. Our results show that the heel IP yielded the largest number of stage-discriminative features, with 96 out of 112 extracted features showing significant differences across PD stages and achieved up to 92% classification accuracy using supervised machine learning classifiers, particularly Random Forest and Neural Network. Clustering analyses (KMeans and Gaussian Mixture Model) further supported stage-specific grouping patterns, with chi-square significance p < 0.0001. These findings suggest that heel IP can serve as a sensitive and practical assessment for PD stage classification. Paired with smart insoles and a tapping game, this can be used as an assistive tool to monitor PD disease progression for at home monitoring in daily life.",
41842938,Entrapment in games: Reframing persistence in the I-PACE framework.,Strojny Paweł et al.,2026,Journal of behavioral addictions,"This paper introduces entrapment as a socio-cognitive pathway of gaming persistence that complements the gratification-compensation sequence in the I-PACE framework. Drawing on escalation-of-commitment theory, identity maintenance, sunk-cost reasoning, and social obligations, we argue that contemporary game architectures, especially gacha systems, transform cumulative investments of time, money, and identity into barriers against disengagement. Empirical signals, including sunk-cost effects, gaming-contingent self-worth, loss aversion, and amotivation, indicate that after initial gratification, persistence may become decoupled from enjoyment and remain both measurable and clinically relevant. Entrapment is not a universal endpoint but an optional trajectory, clarifying why some players continue ""without joy"" and underscoring implications for assessment, intervention, and responsible design.",D1: Loss aversion / behavioral economics; D3: Gacha / Loot box
41842753,Body image concerns and their association with sexual self-efficacy and function in postmenopausal women: a cross-sectional study.,AliAghdami Leila et al.,2026,"Menopause (New York, N.Y.)","To investigate the relationship between body image concerns, sexual self-efficacy, and sexual function in postmenopausal women. A total of 459 postmenopausal women aged 45-60 years were recruited from health care centers in Urmia, Iran, for this cross-sectional study using multistage cluster sampling. Data were collected using a demographic questionnaire and three validated instruments: The Body Image Concern Inventory (BICI), the Female Sexual Function Index (FSFI), and the Sexual Self-Efficacy Scale (SSE). The Spearman correlation coefficients and multiple linear regression were used for data analysis, with statistical significance set at P<0.05. The mean age of the participants was 52.0±4.5 years. The mean scores were 83.85±16.25 for the BICI, 14.55±8.27 for the SSE, and 16.55±4.94 for the FSFI. Body image concern showed strong negative correlations with both sexual self-efficacy (r=-0.876, P<0.001) and sexual function (r=-0.707, P<0.001). A significant positive correlation was observed between sexual self-efficacy and sexual function (r=0.635, P<0.001). All FSFI domains demonstrated significant positive correlations with the total FSFI score, with the strongest association observed for orgasm (r=0.822, P<0.001). Higher body image concerns are associated with lower sexual self-efficacy and sexual function in postmenopausal women. These cross-sectional findings are preliminary and cannot establish causality; they may guide future longitudinal or interventional studies.",D4: Inventory / virtual possession
41841198,"Development and Validation of the Outcomes of WeLlbeing and Distress Scale for Adults With an Intellectual Disability (OWLS-ID), Formally Known as the PTOS-ID.",Kerry Emily et al.,2026,Journal of intellectual disability research : JIDR,"The Psychological Therapies Outcome Scale-Intellectual Disabilities-II (PTOS-ID-II) is a 29-item self-report measure developed to assess psychological distress and positive well-being in people with an intellectual disability. While initial validation demonstrated promising psychometric properties, further replication in a larger sample was needed, and incorporating insights gained from routine clinical use over the years since its initial implementation. A quantitative cross-sectional design was utilised to test the psychometric properties of the PTOS-ID-II using data collected from routine clinical practice from adults with intellectual disabilities (n = 879) accessing a community health service. Subsequent analyses included dimensionality reduction (via principal component analysis and confirmatory factor analysis), assessment of internal consistency, concurrent validity and receiver operating characteristic analysis. Analyses were guided by a primer on the development of health outcome measures. Exploration of the proposed factor structure of the PTOS-ID-II indicated that two of the items were problematic and subsequently removed. The new 27-item measure was rebranded 'the Outcomes for Wellbeing and Distress Scale' (OWLS-ID). Analysis of the measure identified and confirmed a three-component model: (1) Positive Well-being, (2) Emotional and Behavioural Discomfort and (3) Anxiety. Internal consistency was good to acceptable. Items related to Emotional and Behavioural Discomfort and Anxiety were combined to create a measure of psychological distress. Concurrent validity between distress as measured using the OWLS-ID and Brief Symptoms Inventory was strong. A cut of 11.5 had acceptable sensitivity (0.85) and specificity (0.9). Analysis of missing data suggested that item acceptability was high. The OWLS-ID is one of the most comprehensively tested patient-reported outcome measures to date, which was developed specifically for individuals with an intellectual disability. Its implications for clinical practice and future research are discussed.",D4: Inventory / virtual possession
