openalex_id,title,dedup_reason,match_pmid
W2110919939,A SIMULATION GAME FOR TEACHING SERVICE‐ORIENTED SUPPLY CHAIN MANAGEMENT: DOES INFORMATION SHARING HELP MANAGERS WITH SER,novel,
W2900814476,The dark side of internet: Preliminary evidence for the associations of dark personality traits with specific online act,novel,
W2781051222,Risk Factors for Internet Gaming Disorder: Psychological Factors and Internet Gaming Characteristics,novel,
W2123139514,Increasing motivation in robot-aided arm rehabilitation with competitive and cooperative gameplay,novel,
W2215897089,Brain connectivity and psychiatric comorbidity in adolescents with Internet gaming disorder,novel,
W2910007810,Effects of sexualized video games on online sexual harassment,novel,
W2138773105,Reward system and temporal pole contributions to affective evaluation during a first person shooter video game,novel,
W2898638632,Dynamic Difficulty Adjustment (DDA) in Computer Games: A Review,novel,
W2986792328,The effect of game-based learning on academic achievement motivation of elementary school students,novel,
W2049496477,Sharing inventory risk in supply chain: The implication of financial constraint,novel,
W1995347209,Exploring personality characteristics of Chinese adolescents with internet-related addictive behaviors: Trait difference,novel,
W2048505757,Dopamine Genes and Reward Dependence in Adolescents with Excessive Internet Video Game Play,novel,
W4281628356,THE ROLE OF VR GAMES TO MINIMIZE THE OBESITY OF VIDEO GAMERS,novel,
W2610228763,Exploring Individual Differences in Online Addictions: the Role of Identity and Attachment,novel,
W2989652927,Validation of the Virtual Reality Neuroscience Questionnaire: Maximum Duration of Immersive Virtual Reality Sessions Wit,novel,
W2530695086,The Gamification User Types Hexad Scale,novel,
W2071977935,Inventory competition and allocation in a multi-channel distribution system,novel,
W2083998442,"â€˜Kitchen and cooking,â€™ a serious game for mild cognitive impairment and Alzheimerâ€™s disease: a pilot study",novel,
W4283755093,Social epidemiology of early adolescent problematic screen use in the United States,novel,
W1987197319,Flow framework for analyzing the quality of educational games,novel,
W2141295208,"Supply chain simulation – a tool for education, enhancement and endeavour",novel,
W2600667840,Competitive and cooperative arm rehabilitation games played by a patient and unimpaired person: effects on motivation an,novel,
W3149728948,"New Social Horizons: Anxiety, Isolation, and Animal Crossing During the COVID-19 Pandemic",novel,
W4392159125,"Problematic gaming, social withdrawal, and Escapism: The Compensatory-Dissociative Online Gaming (C-DOG) model",novel,
W2132530545,"The Relationships between Online Game Player Biogenetic Traits, Playing Time, and the Genre of the Game Being Played",novel,
W4247435554,Information Distortion in a Supply Chain: The Bullwhip Effect,novel,
W2021200112,Cooperative game theory and inventory management,novel,
W2201675519,Super Mario brothers and sisters: Associations between coplaying video games and sibling conflict and affection,novel,
W1851696508,An evidence-based review of parental presence during anesthesia induction and parent/child anxiety,novel,
W2627086545,What Distinguishes a Traditional Gaming Experience from One in Virtual Reality? An Exploratory Study,novel,
W3127243290,Adolescent Problem Gaming and Loot Box Purchasing in Video Games: Cross-sectional Observational Study Using Population-B,pmid_match,33560241
W2105146137,The development approach of a pedagogically-driven serious game to support Relationship and Sex Education (RSE) within a,novel,
W3157054077,The Industry of Landlords: Exploring the Assetization of the Triple-A Game,novel,
W3022655122,"The changing face of desktop video game monetisation: An exploration of exposure to loot boxes, pay to win, and cosmetic",pmid_match,32379808
W2770932585,Neural Basis of Enhanced Executive Function in Older Video Game Players: An fMRI Study,novel,
W2586953456,Game-Based Rehabilitation for Myoelectric Prosthesis Control,novel,
W2415552970,Smartphone Applications Utilizing Biofeedback Can Aid Stress Reduction,novel,
W2580517642,Music therapy is a potential intervention for cognition of Alzheimer’s Disease: a mini-review,novel,
W4321370273,A taxonomy of technology design features that promote potentially addictive online behaviours,novel,
W2071941175,Dynamic Oligopoly with Inventories,novel,
W2880151681,A Mobile Game for Patients With Breast Cancer for Chemotherapy Self-Management and Quality-of-Life Improvement: Randomiz,novel,
W3096090063,The Impact of a Multitasking-Based Virtual Reality Motion Video Game on the Cognitive and Physical Abilities of Older Ad,novel,
W1807025324,Design strategies to improve patient motivation during robot-aided rehabilitation,novel,
W2177381015,A Serious Videogame as an Additional Therapy Tool for Training Emotional Regulation and Impulsivity Control in Severe Ga,novel,
W2756474818,Causes and Effects of Online Video Game Playing among Junior-Senior High School Students in Malang East Java,novel,
W2576320326,You are a Game Bot!: Uncovering Game Bots in MMORPGs via Self-similarity in the Wild,novel,
W2066774786,Indigenous management of tropical forest ecosystems: the case of the Kayap� indians of the Brazilian Amazon,novel,
W2799981933,"Game-Based Versus to Non-Game-Based: The Impact of Student Response Systems on Students'Achievements, Engagements and Te",novel,
W2991498540,"Rare Loot Box Rewards Trigger Larger Arousal and Reward Responses, and Greater Urge to Open More Loot Boxes",pmid_match,31760581
W1595353039,A Theory of Supply Chains,novel,
W2200119386,Characteristics and Psychiatric Symptoms of Internet Gaming Disorder among Adults Using Self-Reported DSM-5 Criteria,novel,
W2800683817,"Internet Gaming Disorder in Adolescents: Personality, Psychopathology and Evaluation of a Psychological Intervention Com",novel,
W2087396732,Artificial Intelligence in Video Games: Towards a Unified Framework,novel,
W3169900588,Problematic Use of Alcohol and Online Gaming as Coping Strategies During the COVID-19 Pandemic: A Mini Review,novel,
W2023283907,Writing in the Wild: Writers’ Motivation in Fan‐Based Affinity Spaces,novel,
W4320340857,Loot box purchases and their relationship with internet gaming disorder and online gambling disorder in adolescents: A p,novel,
W3111420207,The Influence of Parenting Style and Time Management Tendency on Internet Gaming Disorder among Adolescents,novel,
W1732008817,Reframing video gaming and internet use addiction: empirical cross‐national comparison of heavy use over time and addict,novel,
W4403702101,Influence of parental mediation and social skills on adolescents' use of online video games for escapism: A cross‐sectio,novel,
